img_list,label
1338.nii.gz,2
2114.nii.gz,2
5397.nii.gz,0
1056.nii.gz,0
3768.nii.gz,1
4153.nii.gz,1
3783.nii.gz,1
5568.nii.gz,1
4262.nii.gz,1
4326.nii.gz,1
4301.nii.gz,1
2128.nii.gz,2
1155.nii.gz,0
282.nii.gz,0
3143.nii.gz,1
1309.nii.gz,2
3174.nii.gz,1
174.nii.gz,0
2554.nii.gz,2
647.nii.gz,0
571.nii.gz,0
5537.nii.gz,2
4238.nii.gz,1
3812.nii.gz,1
2150.nii.gz,2
1938.nii.gz,2
4313.nii.gz,1
5373.nii.gz,0
3407.nii.gz,1
2995.nii.gz,1
2738.nii.gz,2
2723.nii.gz,2
3357.nii.gz,1
3501.nii.gz,1
2231.nii.gz,2
1123.nii.gz,0
2174.nii.gz,2
783.nii.gz,0
1393.nii.gz,2
2970.nii.gz,1
1867.nii.gz,2
543.nii.gz,0
2624.nii.gz,2
3058.nii.gz,1
3777.nii.gz,1
5446.nii.gz,0
2361.nii.gz,2
2141.nii.gz,2
3708.nii.gz,1
2367.nii.gz,2
799.nii.gz,0
4110.nii.gz,1
1880.nii.gz,2
1253.nii.gz,2
3665.nii.gz,1
560.nii.gz,0
1839.nii.gz,2
342.nii.gz,0
2291.nii.gz,2
1432.nii.gz,2
1015.nii.gz,0
4226.nii.gz,1
5665.nii.gz,1
1139.nii.gz,0
962.nii.gz,0
4012.nii.gz,1
1618.nii.gz,2
1934.nii.gz,2
3355.nii.gz,1
3827.nii.gz,1
2088.nii.gz,2
4277.nii.gz,1
1673.nii.gz,2
2897.nii.gz,1
627.nii.gz,0
4280.nii.gz,1
4264.nii.gz,1
2657.nii.gz,2
3741.nii.gz,1
5544.nii.gz,1
3419.nii.gz,1
2961.nii.gz,1
623.nii.gz,0
833.nii.gz,0
2262.nii.gz,2
538.nii.gz,0
3908.nii.gz,1
3634.nii.gz,1
332.nii.gz,0
3714.nii.gz,1
3721.nii.gz,1
3930.nii.gz,1
4022.nii.gz,1
2952.nii.gz,1
1159.nii.gz,0
3597.nii.gz,1
4335.nii.gz,1
1103.nii.gz,0
5762.nii.gz,1
3852.nii.gz,1
5343.nii.gz,0
705.nii.gz,0
1627.nii.gz,2
3204.nii.gz,1
2709.nii.gz,2
4165.nii.gz,1
620.nii.gz,0
1684.nii.gz,2
469.nii.gz,0
4243.nii.gz,1
2511.nii.gz,2
2352.nii.gz,2
4299.nii.gz,1
311.nii.gz,0
5418.nii.gz,0
2273.nii.gz,2
3718.nii.gz,1
1058.nii.gz,0
2887.nii.gz,1
3732.nii.gz,1
477.nii.gz,0
3928.nii.gz,1
1701.nii.gz,2
4005.nii.gz,1
1816.nii.gz,2
3886.nii.gz,1
4251.nii.gz,1
94.nii.gz,0
5468.nii.gz,2
2042.nii.gz,2
3849.nii.gz,1
4061.nii.gz,1
1557.nii.gz,2
5358.nii.gz,0
517.nii.gz,0
4267.nii.gz,1
3302.nii.gz,1
1239.nii.gz,2
2227.nii.gz,2
5506.nii.gz,2
1772.nii.gz,2
3021.nii.gz,1
3663.nii.gz,1
2441.nii.gz,2
3308.nii.gz,1
990.nii.gz,0
3456.nii.gz,1
286.nii.gz,0
955.nii.gz,0
3746.nii.gz,1
3683.nii.gz,1
5546.nii.gz,1
5351.nii.gz,0
797.nii.gz,0
1543.nii.gz,2
2602.nii.gz,2
3457.nii.gz,1
2206.nii.gz,2
2736.nii.gz,2
1291.nii.gz,2
3677.nii.gz,1
1356.nii.gz,2
2425.nii.gz,2
3149.nii.gz,1
3455.nii.gz,1
4163.nii.gz,1
1407.nii.gz,2
2153.nii.gz,2
2133.nii.gz,2
224.nii.gz,0
431.nii.gz,0
1954.nii.gz,2
1090.nii.gz,0
4070.nii.gz,1
5628.nii.gz,1
5419.nii.gz,0
781.nii.gz,0
